Q9FFN1	AT5G03800
Q9FIE8	AT5G59290
Q9ZV36	AT2G28760
F4IJL5	AT2G28755
Q500V5	AT1G09320
F4I8W1	AT1G11420
O22897	AT2G47230
Q8H0V4	AT3G62300
O04319	AT3G16380
Q05196	AT1G71770
O64380	AT1G22760
P42731	AT4G34110
Q9FXA2	AT1G49760
O22173	AT2G23350
F4JLI5	AT4G34900
Q7G191	AT1G04580
Q7G9P4	AT2G27150
Q7G193	AT5G20960
Q7G192	AT3G43600
Q9LHJ2	AT3G22250
Q9SGA8	AT3G02100
F4K5T4	AT5G28040
Q9CAV7	AT3G04930
Q9SJM4	AT2G36340
P0DKL0	AT5G14280
Q9SB42	AT4G25210
O23063	AT4G00390
Q9LPF0	AT1G44810
C0SUU6	AT1G11510
Q9LVS8	AT5G47310
Q93VG8	AT4G17486
Q8RXP3	AT1G47740
O81728	AT2G25190
Q6NQ19	AT5G25170
Q9SAI9	AT1G80690
F4I3E6	AT1G49830
Q7XJU2	AT1G05710
Q9SFZ3	AT1G27660
Q94JL3	AT1G61660
Q8GXT3	AT3G20640
Q3ECW2	AT1G47230
A0MEB5	AT1G47220
Q9FMH5	AT5G43080
Q147G5	AT5G11300
Q38819	AT1G15570
Q9C968	AT1G80370
Q9FVX0	AT1G77390
Q9C6Y3	AT1G44110
O82375	AT2G29810
Q8GXX4	AT4G14905
Q1PE10	AT4G39590
Q9SVA0	AT4G39580
Q9T0E2	AT4G11750
Q1PE27	AT4G33900
Q9M2B5	AT3G43710
Q6NL02	AT5G39560
Q9M0E6	AT4G29370
Q9SJ04	AT2G21950
Q6X5U0	AT1G67265
Q6X5U1	AT3G02493
Q6X5V0	AT5G16023
Q9SAF8	AT1G13245
Q6X5T8	AT1G68825
Q6IM95	AT3G25717
Q6IM89	AT1G64585
A8MS09	AT1G17235
Q6IM82	AT3G14362
Q8L7D0	AT2G29125
Q6IM92	AT1G07490
Q8LE84	AT5G59510
Q6IM86	AT3G46613
Q6IM84	AT4G35783
Q6IM91	AT4G13395
Q8S8S3	AT2G39705
Q6IM93	AT3G55515
Q7XXN8	AT2G36985
Q8LBB5	AT3G53232
Q6IM87	AT3G63088
A8MRE9	AT3G23635
F4IQ97	AT2G02061
F4JU16	AT4G19970
A0A1P8B5X7	AT4G19975
Q147R7	AT5G44820
F4KIT4	AT5G40900
Q9SHQ2	AT1G28700
Q9LR57	AT1G03700
Q9ZT81	AT4G03540
Q9M0L3	AT4G25040
Q9CAX3	AT3G11550
Q9SIH4	AT2G36100
Q9ZQI2	AT2G27370
Q9LXF3	AT5G15290
Q9XI72	AT1G14160
Q9SA77	AT1G30620
Q9FI17	AT5G44480
Q9SUN3	AT4G20460
Q8LDN8	AT1G63180
Q42605	AT1G12780
Q9SN58	AT4G10960
Q9T0A7	AT4G23920
Q9C7W7	AT1G64440
Q9C7N2	AT1G29690
Q8L612	AT1G14780
Q9STW5	AT4G24290
Q9SGN6	AT1G28380
Q9FFP6	AT5G63680
Q9FNN1	AT5G08570
Q9LU95	AT3G25960
O65595	AT4G26390
Q9FLW9	AT5G52920
Q93Z53	AT1G32440
Q9FND0	AT5G43960
Q9FME2	AT5G60980
Q9LMX6	AT1G13730
F4IT98	AT2G03640
Q9LDI9	AT1G69250
F4J8X6	AT3G25150
Q84JH2	AT5G48650
Q8VY81	AT1G73540
Q9LE73	AT1G18300
Q9LQU5	AT1G14860
Q9ZU95	AT2G01670
Q52K88	AT3G26690
Q93ZY7	AT1G12880
Q9LHK1	AT3G12600
F4K7T4	AT5G62780
F4IKR5	AT2G35540
Q9FHS7	AT5G37380
F4K8L9	AT5G37760
F4K8L8	AT5G37750
Q84TH2	AT4G19570
A0A1P8B3S0	AT4G19590
Q9S7L6	AT2G05250
F4K1E8	AT5G35753
Q9FGM2	AT5G53150
Q9SLA7	AT2G25560
Q8LBU2	AT1G63460
O48646	AT4G11600
Q9LYB4	AT3G63080
Q8L910	AT2G48150
O22850	AT2G43350
O04922	AT2G31570
Q9SZ54	AT4G31870
P52032	AT2G25080
Q8S4Y1	AT5G48230
Q9FIK7	AT5G47720
Q570C8	AT5G48880
Q56WD9	AT2G33150
Q8LF48	AT1G04710
Q0WMZ6	AT3G56600
O22199	AT2G40850
Q8W4R8	AT1G13640
Q9SI52	AT2G03890
Q9C671	AT1G26270
Q9ZPY9	AT2G46500
Q9FNF8	AT5G24240
O82485	AT4G10770
Q9T095	AT4G27730
Q9FJD2	AT5G53510
Q9FJD1	AT5G53520
Q9FG72	AT5G55930
Q9SUA4	AT4G26590
Q9FME8	AT5G64410
O04514	AT1G09930
Q9LS26	AT5G46570
F4I7Y4	AT1G50990
Q944A7	AT4G35230
Q7XJT7	AT2G17090
F4HU55	AT1G01740
Q8W4L3	AT4G00710
Q9FHD7	AT5G41260
Q9FIL1	AT5G59010
Q9M324	AT3G54030
Q9SRH5	AT3G01280
Q9SMX3	AT5G15090
Q9FKM2	AT5G57490
Q9FJX3	AT5G67500
Q9M2W6	AT3G49920
Q9LUZ5	AT5G58610
Q9FMZ9	AT5G63900
Q9ZW00	AT1G05380
F4K4G6	AT5G36670
F4IXE7	AT3G14980
Q9LZ59	AT5G02430
Q9FK21	AT5G54200
Q9FVP7	AT1G48870
Q9FHY2	AT5G42010
Q8VZK1	AT1G64610
F4KH31	AT5G24320
Q9FJD3	AT5G53500
A0A1P8B9R8	AT5G43570
F4IU00	AT2G38900
Q9STF8	AT3G46860
Q9SV07	AT3G51970
Q4PT07	AT1G34500
Q9FJ78	AT5G55320
Q9FJ75	AT5G55350
Q9FJ74	AT5G55360
Q9FJ76	AT5G55340
Q9FGN1	AT5G51420
Q9FJ72	AT5G55380
Q9FJ73	AT5G55370
Q9LHN9	AT3G13600
Q9M2G8	AT3G58480
Q9LFA4	AT3G52870
O64851	AT2G26190
O82645	AT4G33050
Q9LK58	AT3G13150
Q9LK57	AT3G13160
Q9LG23	AT1G55890
Q9MAG8	AT1G53330
Q8GW57	AT1G80150
Q9M065	AT4G36680
Q9ZU67	AT2G18520
Q9SAB4	AT1G11630
Q8LE47	AT1G61870
P19172	AT5G24090
Q944C1	AT5G58700
Q944C2	AT5G58690
Q8GV43	AT2G40116
Q39032	AT5G58670
Q56W08	AT4G38530
Q9LY51	AT3G55940
Q39033	AT3G08510
Q9SX79	AT1G47490
F4I3B3	AT1G49600
Q0WW84	AT3G19130
Q93W34	AT4G27000
Q9FPJ8	AT5G54900
Q9SAB3	AT1G11650
Q8VXZ9	AT5G19350
F4JKD9	AT4G22050
Q9LQA9	AT1G69100
Q9XEC4	AT4G04460
Q8VYL3	AT1G62290
O65390	AT1G11910
F4HR59	AT1G27220
O04572	AT1G27250
Q9LFQ3	AT5G15020
Q9SRH9	AT3G01320
O48686	AT1G24190
Q9XIE1	AT1G59890
Q9XIK6	AT1G10450
F4I964	AT1G24200
Q9FJS7	AT5G35610
Q9M2U3	AT3G55350
Q94K49	AT3G63270
A0A1P8AMV0	AT1G72275
Q84J48	AT4G29780
Q9LYH2	AT5G12010
Q9FFJ8	AT5G05800
Q9C6F5	AT1G58180
Q94CE3	AT4G33580
P27140	AT3G01500
P42737	AT5G14740
Q9ZUC2	AT1G23730
Q94CE4	AT1G70410
Q8VXX4	AT5G27740
Q9CAM7	AT1G63160
Q9CAQ8	AT1G77470
Q93ZX1	AT1G21690
Q9LV70	AT5G48430
Q3E9C8	AT5G19100
Q93VG3	AT5G19120
Q9ZVS4	AT1G03220
Q9SRT7	AT3G02210
Q8L8Q7	AT3G29810
Q9FME5	AT5G60950
Q94KT8	AT5G60920
Q9LFW3	AT5G15630
O04500	AT1G09790
Q9C8S6	AT1G63220
Q9M2T2	AT3G55470
Q945K9	AT4G34150
Q7XA63	AT5G19860
Q8LEJ7	AT1G55265
Q8VZN3	AT5G16380
Q94AG1	AT3G07470
F4JEG0	AT3G07460
Q8GYV1	AT5G54530
A0A1P8AVC2	AT1G61667
O80719	AT2G47060
F4HWU0	AT1G48210
Q9LUT0	AT3G17410
P93749	AT2G41970
F4IQ85	AT2G43230
B9DFG5	AT3G59350
O49339	AT2G30740
Q8H1G6	AT1G06700
Q9ZNV9	AT3G21510
Q9SAZ5	AT5G39340
Q9ZNV8	AT3G29350
Q8L9T7	AT1G03430
Q9LU15	AT3G16360
Q9SSC9	AT1G80100
A0A178VGJ3	AT3G19430
Q9FKJ5	AT5G60520
Q9FKJ4	AT5G60530
Q9FG54	AT5G54370
O81843	AT4G27400
Q9FZ41	AT1G54890
Q9FJH8	AT5G60770
Q9LMZ9	AT1G08100
O82811	AT1G08090
Q9LPV5	AT1G12940
Q9LYK2	AT5G14570
Q9FJH7	AT5G60780
Q9LXH0	AT3G45060
Q84JL3	AT3G61790
Q93WE4	AT3G13672
Q9STN8	AT4G27880
P93748	AT2G41980
Q9M2P4	AT3G58040
P92943	AT5G26240
P92942	AT3G27170
P92941	AT5G40890
Q96282	AT5G49890
P60300	AT5G33280
Q9SWG0	AT3G45300
Q96329	AT3G51840
Q94JM3	AT5G62000
Q8L7G0	AT1G59750
Q9XED8	AT4G23980
Q9ZPY6	AT2G46530
Q9SKY7	AT2G32130
Q9LKB7	AT3G14870
Q9MAG4	AT1G53380
Q9LZZ5	AT3G60680
F4IMT1	AT2G30380
O22146	AT2G45260
F4KGE8	AT5G58960
O22609	AT3G27925
Q9SEL7	AT4G18370
Q9LU10	AT5G39830
Q9LM24	AT1G18265
Q9FG14	AT5G06560
Q9SF14	AT3G11850
Q9M1S6	AT3G54740
Q1PE31	AT4G30830
A0A1P8AZT2	AT2G24140
F4KDE6	AT5G57830
Q9SVR1	AT4G13160
Q0WL69	AT4G21745
Q9M0Y9	AT4G04900
F4J424	AT3G23380
F4I5N6	AT1G04450
F4IVV0	AT2G33460
Q9ZWB8	AT1G03982
Q1PF35	AT2G20430
Q1G3Y0	AT1G61795
Q9FFD5	AT5G16490
Q8GYU0	AT1G27380
A0A1P8BDW1	AT5G11565
Q3EAA8	AT4G05095
Q3E713	AT5G28615
Q2V3J8	AT4G10613
Q3ECT3	AT1G50080
A0A1P8ANS6	AT1G29005
Q9FG00	AT5G06170
Q9C8X2	AT1G71890
Q39231	AT1G22710
Q9FE59	AT1G09960
O80605	AT2G02860
O82615	AT4G10270
O81873	AT4G33560
Q9S9T1	AT4G05070
Q6NME6	AT2G33775
Q9FZA0	AT1G28270
Q9MA62	AT3G05490
Q9SRY3	AT1G02900
Q9LUS7	AT3G16570
Q2HIM9	AT4G13950
Q9LK37	AT3G23805
Q9FYK0	AT1G24650
Q9SIT1	AT2G01820
P43298	AT1G66150
Q9LK43	AT3G23750
Q9FLN1	AT5G40980
B3H5H0	AT3G27027
Q9FMT9	AT5G14110
Q9S721	AT3G01950
Q9SMN3	AT3G48660
F4JEW3	AT3G27030
Q9LUF5	AT5G50560
Q8LBX6	AT5G08391
Q9FLN3	AT5G40960
Q9SUU1	AT4G32510
Q3E954	AT5G25430
Q9SSG5	AT1G74810
Q9XI23	AT1G15460
Q8VYR7	AT2G47160
Q9M1P7	AT3G62270
Q93Z13	AT3G06450
Q9SZ51	AT4G31840
Q9SK27	AT2G25060
Q8LC95	AT5G25090
Q8L6Z5	AT5G57920
O82227	AT2G23990
Q9LJU1	AT3G20570
Q9FN39	AT5G53870
Q9T076	AT4G27520
F4JL85	AT4G28365
Q8L3X9	AT2G04540
Q9C9P4	AT1G74960
P52410	AT5G46290
Q9SA96	AT1G11790
Q9SGD6	AT1G08250
Q9ZUY3	AT2G27820
O22241	AT3G44720
Q9FNJ8	AT5G22630
Q9SSE7	AT3G07630
P43254	AT2G32950
Q9SYX2	AT2G46340
Q9T014	AT4G11110
Q9LJR3	AT3G15354
Q94BM7	AT1G53090
Q9FFA7	AT5G23730
Q9LTJ6	AT5G52250
Q9FKL3	AT5G57610
Q9LRY7	AT3G24715
F4I5S1	AT1G04700
O64768	AT2G35050
Q9SAJ2	AT1G79570
Q9SA26	AT1G16270
Q9C521	AT1G77610
Q9SFE9	AT1G21870
Q9LDH3	AT1G12500
Q5XF09	AT3G11320
Q6DBP3	AT5G05820
Q9SS40	AT3G10290
Q9FYE5	AT5G04160
O81045	AT2G03290
Q8GYG1	AT1G14010
Q9LQY3	AT1G26690
Q8VY92	AT1G69460
Q9LJV9	AT3G29070
F4J4Y0	AT3G10780
Q8RWM6	AT1G21900
Q6IDL4	AT1G09580
Q9FVU0	AT1G57620
Q9FYG2	AT1G67310
Q8GSA7	AT2G22300
Q9FY74	AT5G09410
Q6NPP4	AT5G64220
Q9LNE4	AT1G06020
Q9SID0	AT2G31390
Q9M1B9	AT3G59480
O82616	AT4G10260
Q9FLH8	AT5G51830
Q9C524	AT1G66430
Q9ZUX7	AT2G27760
Q9LJL4	AT3G19160
Q94ID3	AT1G68460
Q93WC9	AT3G63110
Q94ID2	AT5G19040
Q94ID1	AT3G23630
O49652	AT4G22710
Q9STH8	AT4G12330
Q9STI0	AT4G12310
Q9SYD6	AT1G51340
Q9SFB0	AT3G08040
Q84K71	AT2G38330
Q9FLC2	AT5G05320
F4JK86	AT4G15765
Q9ZQN9	AT2G35660
Q9XEF0	AT2G40200
Q9LET0	AT3G56770
O80674	AT2G41130
Q9LS08	AT3G25710
Q9S7Y1	AT1G68810
O48845	AT2G32720
Q9ZNV4	AT2G46650
Q42342	AT5G53560
Q9ZWT2	AT5G48810
Q9FDW8	AT1G26340
Q9LEU5	AT5G10950
Q9S9P0	AT1G15940
A8MRD9	AT1G80810
F4I735	AT1G77600
B6EUB3	AT5G47690
Q8GUP3	AT4G31880
Q8VZI9	AT3G11100
Q9FFG0	AT5G05550
Q8GXR6	AT3G58630
Q9SYG2	AT1G54060
Q9LJG8	AT3G14180
Q9LV59	AT3G24490
Q84TH9	AT4G24020
Q8RWY4	AT1G64530
Q9SFW8	AT1G76350
Q9LE38	AT1G20640
Q8H111	AT2G17150
Q7X9B9	AT4G35270
Q9SVF1	AT4G38340
O22864	AT2G43500
A0A1P8B128	AT2G23630
O23170	AT4G37160
Q8LPS9	AT5G66920
O65449	AT4G22010
Q9SGR6	AT1G76160
F4I7X1	AT1G41830
Q9SFF1	AT1G21860
Q9SUD0	AT4G28090
Q8VYB3	AT4G38420
Q1PFD0	AT1G75790
Q9M132	AT4G01410
Q9FI03	AT5G53730
Q9C568	AT5G22200
Q9LXM6	AT3G44220
Q9SST3	AT4G09590
Q9SVC8	AT3G52470
Q9SRN0	AT3G11660
Q9FNH5	AT5G06330
Q9S7T1	AT1G73150
Q8H1D7	AT1G17790
Q9LNC4	AT1G06230
Q7Y214	AT5G65630
Q9LXA7	AT5G10550
Q9LS28	AT5G46550
Q9MAD0	AT3G01210
Q949S4	AT1G14340
Q9LFD5	AT5G16840
Q8LA96	AT4G17720
Q6NM69	AT5G46870
F4HVJ0	AT1G67950
Q8L9M9	AT5G32450
Q9FLS0	AT5G07610
O64477	AT2G19130
Q8VXY7	AT1G70330
Q84XI3	AT1G02630
Q944N8	AT4G05110
Q9M0Y2	AT4G05130
Q944P0	AT1G61630
Q9FIB0	AT5G09970
Q9LMX7	AT1G13710
Q9C9D1	AT1G74110
Q9SLP1	AT3G61880
Q9ZNR0	AT2G46660
A0A178WIC4	AT1G01190
Q9LTD8	AT5G52790
Q8RY60	AT1G47330
Q8VZI2	AT4G33700
Q9ZQR4	AT2G14520
Q9ZVS8	AT1G03270
Q4V3C7	AT4G14230
Q67XQ0	AT4G14240
Q9LNK7	AT1G34470
Q9LIR9	AT3G23870
B3LFA3	AT4G13800
Q8GYS1	AT4G38730
Q8GWX2	AT2G21120
O81862	AT4G19810
F4JTZ2	AT4G19820
O81861	AT4G19800
O22287	AT2G39770
Q8H1Q7	AT4G30570
F4IFA4	AT2G04650
Q9C9P3	AT1G74910
Q9SS45	AT3G10340
P45725	AT5G04230
P45724	AT3G53260
P35510	AT2G37040
Q8W4J2	AT5G19010
Q84M93	AT2G01450
Q9LV37	AT3G18040
Q9C9U4	AT1G73670
Q9LM33	AT1G18150
Q9LUC3	AT3G14720
Q9C5C0	AT1G53510
Q9SJG9	AT2G42880
P40941	AT5G13490
Q8LB08	AT5G17400
O49447	AT4G28390
Q9FM86	AT5G56450
Q43127	AT5G35630
Q9LVI8	AT3G17820
Q8GXW5	AT1G48470
Q56WN1	AT5G37600
Q8LCE1	AT1G66200
Q9FMD9	AT5G16570
Q9SH25	AT1G63390
Q9C8U0	AT1G63370
Q94K43	AT1G62540
A8MRX0	AT1G12140
Q9FWW9	AT1G12200
Q9FLK4	AT5G61290
Q9FF12	AT5G07800
P36212	AT3G27850
P36211	AT3G27840
Q9SZF8	AT4G37660
Q9M7T1	AT3G06040
O04527	AT1G70190
O23238	AT4G36420
Q94C59	AT1G30690
Q9M0R2	AT4G09160
Q56Z59	AT1G72160
Q56WK6	AT1G72150
Q56ZI2	AT1G22530
Q9SCU1	AT3G51670
Q93WU6	AT5G28650
Q9SR07	AT3G04670
O04336	AT2G30590
O22176	AT2G23320
Q9STX0	AT4G24240
Q9SV15	AT4G31550
Q9SJA8	AT2G24570
Q9SYB0	AT1G61740
F4JIP9	AT4G21250
Q8L7A0	AT2G25737
Q8S9J0	AT2G36630
Q9ZW96	AT1G67100
Q9M886	AT3G02550
Q9CA30	AT1G68510
Q9SZE8	AT4G37540
Q9SN23	AT3G49940
Q9FN11	AT5G67420
Q9ZQ85	AT2G03500
Q9LS00	AT3G25790
Q9FX67	AT1G13300
Q9FPE8	AT1G25550
Q8VZS3	AT1G68670
Q9FX84	AT1G49560
F4JRB0	AT4G37180
A0A1P8ARU2	AT1G47845
Q56XE8	AT3G20040
Q9LPS1	AT1G50460
P93834	AT2G19860
Q9T071	AT4G37840
Q9C9N7	AT1G66850
Q9M2L6	AT3G57310
Q3EC04	AT2G14846
Q9FF40	AT5G38160
A0A1I9LP30	AT3G18280
Q94AQ3	AT1G48750
Q9C9T4	AT1G73780
F4ITI2	AT2G19890
Q9M1Q4	AT3G62200
Q9M1Q3	AT3G62210
A0A1P8BCJ7	AT5G61190
F4K208	AT5G61180
Q9FGG2	AT5G64710
Q9FIC2	AT5G09840
Q6NQ97	AT2G15560
Q0WPX7	AT5G62100
Q9LYP4	AT5G07220
Q0WUQ1	AT5G52060
Q9LY93	AT5G14360
Q9FM35	AT5G40630
Q8RX71	AT3G51780
Q9LZM0	AT5G02110
Q0WQN9	AT5G10440
Q8LGA1	AT5G65420
P42752	AT2G22490
P42751	AT1G70210
Q9LR10	AT1G75710
C0SUU5	AT1G11490
O81827	AT4G27240
Q9FIU1	AT5G54630
O82389	AT2G29660
Q8RXD5	AT1G73260
Q9FX28	AT1G73325
Q9LMU2	AT1G17860
Q9SCS2	AT3G50530
Q9FX86	AT1G49580
Q9LJL9	AT3G19100
Q9LET1	AT3G56760
O80673	AT2G41140
Q9ZUZ2	AT2G46700
Q9SG12	AT3G49370
Q9FIM9	AT5G24430
A1L4Y4	AT5G61510
Q9LXZ4	AT3G56460
O65423	AT4G21580
Q8W110	AT5G23980
P92949	AT1G01580
F4I4K7	AT1G23020
Q3KTM0	AT5G49740
Q8VY13	AT5G50160
A0A1P8AST2	AT1G72760
Q681A5	AT1G17540
F4JZT9	AT5G35380
F4IK85	AT2G07020
A0A1P8AW87	AT1G16760
F4IDG2	AT1G78940
Q8GWU3	AT3G20200
Q1PE30	AT4G31230
Q1PF03	AT2G24370
Q0WVJ0	AT5G12000
A0A1P8BD07	AT5G26150
O23207	AT4G36750
Q6NQE2	AT4G27270
Q9LSQ5	AT5G54500
Q9LUX9	AT5G58800
Q9S9K1	AT1G65210
F4I2M8	AT1G09910
A0A1P8AQ71	AT1G09890
Q9STV1	AT4G24430
A0A1P8AV46	AT1G09880
Q9ZQ51	AT2G22620
Q84W85	AT4G37950
F4JSW8	AT4G38030
Q9LII2	AT3G18570
Q9M9A1	AT1G48990
Q43284	AT5G51210
P29525	AT4G25140
O82308	AT2G25890
F4K829	AT5G07571
Q42574	AT5G07550
Q39165	AT5G40420
Q42431	AT3G27660
F4IEB6	AT1G32700
Q9FIQ4	AT5G46710
Q0WUB8	AT4G17900
Q93V70	AT1G21000
Q2HIW3	AT1G76590
A0A1P8B2M5	AT2G27930
Q9LF70	AT5G17540
Q9SRQ2	AT3G03480
Q0V7Z5	AT1G29450
Q9SGR4	AT1G76190
Q9LMV6	AT1G20470
Q5XVC1	AT3G05725
O22262	AT2G47480
Q9LZK1	AT3G62640
A0A1P8B2T9	AT2G19460
Q9LYH6	AT5G11970
A0A1I9LQ26	AT3G13910
Q8RX66	AT5G28290
Q9CAU7	AT3G04810
Q9LHI7	AT3G12200
Q9LT35	AT3G20860
Q0WPH8	AT3G44200
Q84WT5	AT4G33820
Q6NQI6	AT4G33840
Q9SVF5	AT4G38300
A0A1P8AWH8	AT1G58370
F4JG10	AT4G08160
O80596	AT1G10050
Q9STG2	AT3G46900
Q8GWP3	AT2G26975
Q39065	AT5G59030
Q9FGU8	AT5G59040
Q8SAA5	AT2G37925
Q93VM8	AT5G20650
Q9M0B6	AT4G30440
Q9STI6	AT4G12250
O81312	AT4G00110
O22141	AT2G45310
Q9LIS3	AT3G23820
O65570	AT4G30160
Q9LVC6	AT5G57320
O81643	AT2G29890
O81644	AT2G41740
O81645	AT3G57410
Q9SAI2	AT1G80780
Q9SKZ2	AT2G32070
Q9LEU4	AT5G10960
Q9LXM2	AT3G44260
Q9FMS6	AT5G22250
Q9SIK1	AT2G21590
P55231	AT4G39210
P55230	AT1G27680
P55229	AT5G19220
P55228	AT5G48300
F4I8U2	AT1G05610
Q8H1Z0	AT5G57800
F4HVY0	AT1G02205
F4IR05	AT2G37700
P94102	AT5G20850
Q39009	AT3G22880
Q9SK02	AT2G28560
Q9FKM5	AT5G57450
Q8GXF0	AT2G45280
Q9M9X7	AT3G05720
Q9FJ09	AT5G49310
O04294	AT4G02150
Q9FWY7	AT1G02690
O80480	AT1G09270
Q42561	AT3G25110
Q9SV64	AT4G13050
Q9SJE2	AT1G08510
Q9SS47	AT3G10360
Q9ZW02	AT2G29140
Q9C5E7	AT4G25880
O04034	AT1G08960
Q9FKP1	AT5G17860
Q9FKP2	AT5G17850
Q9LJI2	AT3G14070
Q9SYG9	AT1G54115
A0A1P8AM88	AT1G08210
Q0WRU5	AT5G22850
F4INZ4	AT2G36670
Q4V3D2	AT5G36260
Q9S9K4	AT1G65240
Q9M8R6	AT3G02740
F4IAD5	AT1G05840
Q56Y11	AT5G58770
Q570Q8	AT5G58784
Q8LAR7	AT5G60510
Q8S2T1	AT2G17570
Q9SLH0	AT2G27050
O24606	AT3G20770
O23115	AT5G21120
O23116	AT1G73730
Q9FJQ5	AT5G65100
Q9LX16	AT5G10120
O49404	AT4G18890
Q9ZV88	AT1G78700
Q9S7F3	AT3G50750
Q8S307	AT1G75080
Q9LN63	AT1G19350
Q9LSV0	AT3G25530
F4I907	AT1G17650
Q9SUC0	AT4G20930
Q949M8	AT1G71180
Q9SZE1	AT4G29120
Q9FFF0	AT5G16330
Q9FFE7	AT5G16360
Q9M872	AT3G02700
Q29PY0	AT1G01225
Q3EAE0	AT4G00905
Q93V51	AT5G06370
O04291	AT2G34710
O04292	AT1G30490
Q9SE43	AT5G60690
Q39123	AT4G32880
Q9ZU11	AT1G52150
Q9ZV52	AT2G18660
Q67ZU1	AT5G14180
Q71DJ5	AT2G15230
Q9LSQ1	AT3G16900
Q9SF24	AT3G11740
Q9ZQR8	AT2G14560
B3H5L1	AT3G10986
Q9LYM3	AT3G56180
Q5XF57	AT5G57670
O64619	AT2G18890
F4KI00	AT5G65530
Q8H1D6	AT5G10520
Q9FGC3	AT5G35960
Q8GXZ5	AT5G18910
Q8RXC8	AT3G05140
Q9LIL3	AT3G22850
Q9FG81	AT5G43830
Q93V62	AT4G27450
Q9LE80	AT3G15450
Q94BR2	AT5G19140
Q9M111	AT4G02280
Q9FX32	AT1G73370
Q9LXL5	AT3G43190
Q00917	AT5G49190
Q9S7V4	AT1G74520
Q9S784	AT1G69700
Q9SYX7	AT5G62490
Q9FED2	AT5G50720
Q9S760	AT4G24960
Q9S6Z8	AT4G01840
Q9FL25	AT5G46370
Q9SVV6	AT4G18160
Q8LBL1	AT5G55630
Q1G3U6	AT1G18490
Q9LXT4	AT3G58670
Q9SJI9	AT2G42670
Q9LXG9	AT5G15120
Q8LGJ5	AT5G39890
Q9LD83	AT1G12480
Q9FLV9	AT5G24030
Q5E930	AT1G62280
A8MRV9	AT1G62262
Q9ASQ7	AT4G27970
Q93YR2	AT1G78560
Q1EBV7	AT2G26900
Q8VYY4	AT4G22840
F4JPW1	AT4G12030
Q8RXE8	AT3G25410
Q9FKZ2	AT5G66890
Q9FKZ1	AT5G66900
Q9SZA7	AT4G33300
Q9LZ25	AT5G04720
Q9LVT1	AT5G47280
Q9LIM8	AT3G26470
Q8LCG7	AT1G56170
Q8L4B2	AT1G08970
Q9ZVL3	AT1G54830
Q9SMP0	AT3G48590
Q9FMV5	AT5G63470
A0A1P8B9R1	AT5G56620
Q9M0F8	AT4G29230
O49459	AT4G28500
F4HY61	AT1G28470
Q6NQK2	AT1G25580
A0A1P8BAI4	AT5G14490
O49203	AT4G11010
Q8LAH8	AT4G23900
Q6NLG3	AT1G17410
O64903	AT5G63310
F4J2T9	AT3G22980
F4JWP9	AT5G25230
Q9SKT7	AT2G20800
F4JJJ3	AT4G21490
Q1JPL4	AT4G28220
Q8GWA1	AT1G07180
O80874	AT2G29990
Q3EAQ5	AT3G43790
Q8RWN2	AT5G13740
Q94BZ1	AT5G13750
Q84JC2	AT4G18650
Q9SLV1	AT1G58330
A0SVK0	AT5G45830
Q58FV0	AT4G18690
Q9LKB6	AT3G14880
Q9FT92	AT5G08430
A0A1P8B9E3	AT5G23480
F4KAT5	AT5G63700
Q94JX1	AT2G18090
Q9SIV5	AT2G16485
Q9SS87	AT3G01680
Q93XX2	AT3G01670
Q9FXE2	AT1G67790
Q9LDF5	AT3G15290
Q9ZPI5	AT3G06860
Q9ZPI6	AT4G29010
Q9SVY0	AT3G57660
F4JXF9	AT5G60040
Q9LQ02	AT1G63020
Q8LF75	AT3G09010
Q93YN1	AT1G16670
Q9SHI4	AT1G17250
Q9SHI3	AT1G17240
Q9C7S5	AT1G72300
Q9ZVR7	AT2G02220
Q9FN37	AT5G53890
Q84JT7	AT2G46040
Q9LDD4	AT4G11400
A0A1P8AUG1	AT1G13880
Q9ZQ83	AT2G03470
Q9FZE2	AT1G26580
Q9LNN7	AT1G53130
O65387	AT1G11925
Q9C6T5	AT1G50720
Q9SZ28	AT4G26880
Q9FLQ0	AT5G55110
Q9C6P6	AT1G50650
F4JHA2	AT4G02260
Q84R11	AT3G17470
Q9LVJ3	AT3G14050
Q9SYH1	AT1G54130
Q6NM26	AT5G26990
Q8VXU6	AT3G06760
Q9FJ17	AT5G49230
O04259	AT4G02200
Q8GWK1	AT1G02750
Q9LJ90	AT3G22560
Q9SKZ7	AT2G32020
Q9SKZ6	AT2G32030
Q9M0G4	AT4G28680
Q8RY79	AT2G20340
Q945S8	AT2G44150
Q949T8	AT4G30860
Q84WW6	AT1G76710
Q9FNQ1	AT5G61140
O48534	AT2G42270
Q9SYP1	AT1G20960
Q5D892	AT3G27730
Q39253	AT2G38170
Q93Z81	AT3G51860
Q39254	AT3G13320
Q9LFZ8	AT1G55720
Q8L783	AT1G55730
F4JAD0	AT3G47160
Q8L8N5	AT5G58787
Q9M022	AT5G01520
Q9FYL9	AT1G24440
Q9SAF3	AT1G13195
Q0WSZ8	AT2G25480
Q9ASW8	AT1G54460
Q84ZT9	AT5G28646
Q8GYX9	AT3G04630
Q9SJ62	AT2G35880
Q84WL6	AT3G23090
Q93Z34	AT2G24280
Q1JPM1	AT5G65760
Q9FFC2	AT5G22860
Q84LH3	AT4G13870
