genes	chrom	block	hex	rgb
AT1G70940	1	E	#8f0003	143,0,3
AT1G70944	1	E	#8f0003	143,0,3
AT1G70949	1	E	#8f0003	143,0,3
AT1G70950	1	E	#8f0003	143,0,3
AT1G70960	1	E	#8f0003	143,0,3
AT1G70970	1	E	#8f0003	143,0,3
AT1G70980	1	E	#8f0003	143,0,3
AT1G70985	1	E	#8f0003	143,0,3
AT1G70990	1	E	#8f0003	143,0,3
AT1G71000	1	E	#8f0003	143,0,3
AT1G71002	1	E	#8f0003	143,0,3
AT1G71010	1	E	#8f0003	143,0,3
AT1G71015	1	E	#8f0003	143,0,3
AT1G71020	1	E	#8f0003	143,0,3
AT1G71030	1	E	#8f0003	143,0,3
AT1G71040	1	E	#8f0003	143,0,3
AT1G71050	1	E	#8f0003	143,0,3
AT1G71060	1	E	#8f0003	143,0,3
AT1G71070	1	E	#8f0003	143,0,3
AT1G71080	1	E	#8f0003	143,0,3
AT1G71090	1	E	#8f0003	143,0,3
AT1G71100	1	E	#8f0003	143,0,3
AT1G71110	1	E	#8f0003	143,0,3
AT1G71120	1	E	#8f0003	143,0,3
AT1G71130	1	E	#8f0003	143,0,3
AT1G71140	1	E	#8f0003	143,0,3
AT1G71150	1	E	#8f0003	143,0,3
AT1G71160	1	E	#8f0003	143,0,3
AT1G71170	1	E	#8f0003	143,0,3
AT1G71180	1	E	#8f0003	143,0,3
AT1G71190	1	E	#8f0003	143,0,3
AT1G71200	1	E	#8f0003	143,0,3
AT1G71210	1	E	#8f0003	143,0,3
AT1G71220	1	E	#8f0003	143,0,3
AT1G71230	1	E	#8f0003	143,0,3
AT1G71235	1	E	#8f0003	143,0,3
AT1G71240	1	E	#8f0003	143,0,3
AT1G71250	1	E	#8f0003	143,0,3
AT1G71260	1	E	#8f0003	143,0,3
AT1G71270	1	E	#8f0003	143,0,3
AT1G71280	1	E	#8f0003	143,0,3
AT1G71290	1	E	#8f0003	143,0,3
AT1G71300	1	E	#8f0003	143,0,3
AT1G71310	1	E	#8f0003	143,0,3
AT1G71320	1	E	#8f0003	143,0,3
AT1G71330	1	E	#8f0003	143,0,3
AT1G71340	1	E	#8f0003	143,0,3
AT1G71350	1	E	#8f0003	143,0,3
AT1G71360	1	E	#8f0003	143,0,3
AT1G71370	1	E	#8f0003	143,0,3
AT1G71380	1	E	#8f0003	143,0,3
AT1G71390	1	E	#8f0003	143,0,3
AT1G71400	1	E	#8f0003	143,0,3
AT1G71410	1	E	#8f0003	143,0,3
AT1G71420	1	E	#8f0003	143,0,3
AT1G71430	1	E	#8f0003	143,0,3
AT1G71440	1	E	#8f0003	143,0,3
AT1G71450	1	E	#8f0003	143,0,3
AT1G71460	1	E	#8f0003	143,0,3
AT1G71470	1	E	#8f0003	143,0,3
AT1G71480	1	E	#8f0003	143,0,3
AT1G71490	1	E	#8f0003	143,0,3
AT1G71500	1	E	#8f0003	143,0,3
AT1G71520	1	E	#8f0003	143,0,3
AT1G71528	1	E	#8f0003	143,0,3
AT1G71530	1	E	#8f0003	143,0,3
AT1G71680	1	E	#8f0003	143,0,3
AT1G71690	1	E	#8f0003	143,0,3
AT1G71691	1	E	#8f0003	143,0,3
AT1G71692	1	E	#8f0003	143,0,3
AT1G71695	1	E	#8f0003	143,0,3
AT1G71696	1	E	#8f0003	143,0,3
AT1G71697	1	E	#8f0003	143,0,3
AT1G71700	1	E	#8f0003	143,0,3
AT1G71710	1	E	#8f0003	143,0,3
AT1G71720	1	E	#8f0003	143,0,3
AT1G71730	1	E	#8f0003	143,0,3
AT1G71740	1	E	#8f0003	143,0,3
AT1G71750	1	E	#8f0003	143,0,3
AT1G71760	1	E	#8f0003	143,0,3
AT1G71770	1	E	#8f0003	143,0,3
AT1G71780	1	E	#8f0003	143,0,3
AT1G71790	1	E	#8f0003	143,0,3
AT1G71800	1	E	#8f0003	143,0,3
AT1G71810	1	E	#8f0003	143,0,3
AT1G71820	1	E	#8f0003	143,0,3
AT1G71828	1	E	#8f0003	143,0,3
AT1G71830	1	E	#8f0003	143,0,3
AT1G71840	1	E	#8f0003	143,0,3
AT1G71850	1	E	#8f0003	143,0,3
AT1G71860	1	E	#8f0003	143,0,3
AT1G71865	1	E	#8f0003	143,0,3
AT1G71866	1	E	#8f0003	143,0,3
AT1G71870	1	E	#8f0003	143,0,3
AT1G71880	1	E	#8f0003	143,0,3
AT1G71890	1	E	#8f0003	143,0,3
AT1G71900	1	E	#8f0003	143,0,3
AT1G71910	1	E	#8f0003	143,0,3
AT1G71920	1	E	#8f0003	143,0,3
AT1G71930	1	E	#8f0003	143,0,3
AT1G71940	1	E	#8f0003	143,0,3
AT1G71950	1	E	#8f0003	143,0,3
AT1G71960	1	E	#8f0003	143,0,3
AT1G71970	1	E	#8f0003	143,0,3
AT1G71980	1	E	#8f0003	143,0,3
AT1G71990	1	E	#8f0003	143,0,3
AT1G72000	1	E	#8f0003	143,0,3
AT1G72010	1	E	#8f0003	143,0,3
AT1G72020	1	E	#8f0003	143,0,3
AT1G72030	1	E	#8f0003	143,0,3
AT1G72040	1	E	#8f0003	143,0,3
AT1G72050	1	E	#8f0003	143,0,3
AT1G72060	1	E	#8f0003	143,0,3
AT1G72070	1	E	#8f0003	143,0,3
AT1G72080	1	E	#8f0003	143,0,3
AT1G72090	1	E	#8f0003	143,0,3
AT1G72100	1	E	#8f0003	143,0,3
AT1G72110	1	E	#8f0003	143,0,3
AT1G72120	1	E	#8f0003	143,0,3
AT1G72125	1	E	#8f0003	143,0,3
AT1G72130	1	E	#8f0003	143,0,3
AT1G72131	1	E	#8f0003	143,0,3
AT1G72140	1	E	#8f0003	143,0,3
AT1G72141	1	E	#8f0003	143,0,3
AT1G72150	1	E	#8f0003	143,0,3
AT1G72160	1	E	#8f0003	143,0,3
AT1G72170	1	E	#8f0003	143,0,3
AT1G72175	1	E	#8f0003	143,0,3
AT1G72180	1	E	#8f0003	143,0,3
AT1G72190	1	E	#8f0003	143,0,3
AT1G72200	1	E	#8f0003	143,0,3
AT1G72210	1	E	#8f0003	143,0,3
AT1G72220	1	E	#8f0003	143,0,3
AT1G72230	1	E	#8f0003	143,0,3
AT1G72240	1	E	#8f0003	143,0,3
AT1G72250	1	E	#8f0003	143,0,3
AT1G72260	1	E	#8f0003	143,0,3
AT1G72270	1	E	#8f0003	143,0,3
AT1G72280	1	E	#8f0003	143,0,3
AT1G72290	1	E	#8f0003	143,0,3
AT1G72300	1	E	#8f0003	143,0,3
AT1G72310	1	E	#8f0003	143,0,3
AT1G72320	1	E	#8f0003	143,0,3
AT1G72330	1	E	#8f0003	143,0,3
AT1G72340	1	E	#8f0003	143,0,3
AT1G72350	1	E	#8f0003	143,0,3
AT1G72360	1	E	#8f0003	143,0,3
AT1G72370	1	E	#8f0003	143,0,3
AT1G72390	1	E	#8f0003	143,0,3
AT1G72410	1	E	#8f0003	143,0,3
AT1G72416	1	E	#8f0003	143,0,3
AT1G72420	1	E	#8f0003	143,0,3
AT1G72430	1	E	#8f0003	143,0,3
AT1G72440	1	E	#8f0003	143,0,3
AT1G72450	1	E	#8f0003	143,0,3
AT1G72460	1	E	#8f0003	143,0,3
AT1G72470	1	E	#8f0003	143,0,3
AT1G72480	1	E	#8f0003	143,0,3
AT1G72490	1	E	#8f0003	143,0,3
AT1G72500	1	E	#8f0003	143,0,3
AT1G72510	1	E	#8f0003	143,0,3
AT1G72520	1	E	#8f0003	143,0,3
AT1G72530	1	E	#8f0003	143,0,3
AT1G72540	1	E	#8f0003	143,0,3
AT1G72550	1	E	#8f0003	143,0,3
AT1G72560	1	E	#8f0003	143,0,3
AT1G72570	1	E	#8f0003	143,0,3
AT1G72580	1	E	#8f0003	143,0,3
AT1G72590	1	E	#8f0003	143,0,3
AT1G72600	1	E	#8f0003	143,0,3
AT1G72610	1	E	#8f0003	143,0,3
AT1G72620	1	E	#8f0003	143,0,3
AT1G72630	1	E	#8f0003	143,0,3
AT1G72640	1	E	#8f0003	143,0,3
AT1G72645	1	E	#8f0003	143,0,3
AT1G72650	1	E	#8f0003	143,0,3
AT1G72660	1	E	#8f0003	143,0,3
AT1G72670	1	E	#8f0003	143,0,3
AT1G72680	1	E	#8f0003	143,0,3
AT1G72690	1	E	#8f0003	143,0,3
AT1G72700	1	E	#8f0003	143,0,3
AT1G72710	1	E	#8f0003	143,0,3
AT1G72720	1	E	#8f0003	143,0,3
AT1G72730	1	E	#8f0003	143,0,3
AT1G72740	1	E	#8f0003	143,0,3
AT1G72750	1	E	#8f0003	143,0,3
AT1G72760	1	E	#8f0003	143,0,3
AT1G72770	1	E	#8f0003	143,0,3
AT1G72780	1	E	#8f0003	143,0,3
AT1G72790	1	E	#8f0003	143,0,3
AT1G72800	1	E	#8f0003	143,0,3
AT1G72810	1	E	#8f0003	143,0,3
AT1G72820	1	E	#8f0003	143,0,3
AT1G72830	1	E	#8f0003	143,0,3
AT1G72840	1	E	#8f0003	143,0,3
AT1G72850	1	E	#8f0003	143,0,3
AT1G72852	1	E	#8f0003	143,0,3
AT1G72860	1	E	#8f0003	143,0,3
AT1G72855	1	E	#8f0003	143,0,3
AT1G72870	1	E	#8f0003	143,0,3
AT1G72880	1	E	#8f0003	143,0,3
AT1G72890	1	E	#8f0003	143,0,3
AT1G72900	1	E	#8f0003	143,0,3
AT1G72910	1	E	#8f0003	143,0,3
AT1G72920	1	E	#8f0003	143,0,3
AT1G72930	1	E	#8f0003	143,0,3
AT1G72940	1	E	#8f0003	143,0,3
AT1G72950	1	E	#8f0003	143,0,3
AT1G72960	1	E	#8f0003	143,0,3
AT1G72970	1	E	#8f0003	143,0,3
AT1G72980	1	E	#8f0003	143,0,3
AT1G72990	1	E	#8f0003	143,0,3
AT1G73000	1	E	#8f0003	143,0,3
AT1G73010	1	E	#8f0003	143,0,3
AT1G73020	1	E	#8f0003	143,0,3
AT1G73030	1	E	#8f0003	143,0,3
AT1G73040	1	E	#8f0003	143,0,3
AT1G73050	1	E	#8f0003	143,0,3
AT1G73060	1	E	#8f0003	143,0,3
AT1G73066	1	E	#8f0003	143,0,3
AT1G73080	1	E	#8f0003	143,0,3
AT1G73090	1	E	#8f0003	143,0,3
AT1G73100	1	E	#8f0003	143,0,3
AT1G73110	1	E	#8f0003	143,0,3
AT1G73120	1	E	#8f0003	143,0,3
AT1G73130	1	E	#8f0003	143,0,3
AT1G73140	1	E	#8f0003	143,0,3
AT1G73150	1	E	#8f0003	143,0,3
AT1G73160	1	E	#8f0003	143,0,3
AT1G73165	1	E	#8f0003	143,0,3
AT1G73170	1	E	#8f0003	143,0,3
AT1G73175	1	E	#8f0003	143,0,3
AT1G73177	1	E	#8f0003	143,0,3
AT1G73180	1	E	#8f0003	143,0,3
AT1G73190	1	E	#8f0003	143,0,3
AT1G73200	1	E	#8f0003	143,0,3
AT1G73210	1	E	#8f0003	143,0,3
AT1G73220	1	E	#8f0003	143,0,3
AT1G73230	1	E	#8f0003	143,0,3
AT1G73240	1	E	#8f0003	143,0,3
AT1G73250	1	E	#8f0003	143,0,3
AT1G73260	1	E	#8f0003	143,0,3
AT1G73270	1	E	#8f0003	143,0,3
AT1G73280	1	E	#8f0003	143,0,3
AT1G73290	1	E	#8f0003	143,0,3
AT1G73300	1	E	#8f0003	143,0,3
AT1G73310	1	E	#8f0003	143,0,3
AT1G73320	1	E	#8f0003	143,0,3
AT1G73325	1	E	#8f0003	143,0,3
AT1G73330	1	E	#8f0003	143,0,3
AT1G73340	1	E	#8f0003	143,0,3
AT1G73350	1	E	#8f0003	143,0,3
AT1G73360	1	E	#8f0003	143,0,3
AT1G73370	1	E	#8f0003	143,0,3
AT1G73380	1	E	#8f0003	143,0,3
AT1G73390	1	E	#8f0003	143,0,3
AT1G73400	1	E	#8f0003	143,0,3
AT1G73410	1	E	#8f0003	143,0,3
AT1G73430	1	E	#8f0003	143,0,3
AT1G73440	1	E	#8f0003	143,0,3
AT1G73445	1	E	#8f0003	143,0,3
AT1G73450	1	E	#8f0003	143,0,3
AT1G73460	1	E	#8f0003	143,0,3
AT1G73470	1	E	#8f0003	143,0,3
AT1G73480	1	E	#8f0003	143,0,3
AT1G73490	1	E	#8f0003	143,0,3
AT1G73500	1	E	#8f0003	143,0,3
AT1G73510	1	E	#8f0003	143,0,3
AT1G73530	1	E	#8f0003	143,0,3
AT1G73540	1	E	#8f0003	143,0,3
AT1G73550	1	E	#8f0003	143,0,3
AT1G73560	1	E	#8f0003	143,0,3
AT1G73570	1	E	#8f0003	143,0,3
AT1G73580	1	E	#8f0003	143,0,3
AT1G73590	1	E	#8f0003	143,0,3
AT1G73600	1	E	#8f0003	143,0,3
AT1G73602	1	E	#8f0003	143,0,3
AT1G73603	1	E	#8f0003	143,0,3
AT1G73607	1	E	#8f0003	143,0,3
AT1G73610	1	E	#8f0003	143,0,3
AT1G73620	1	E	#8f0003	143,0,3
AT1G73630	1	E	#8f0003	143,0,3
AT1G73640	1	E	#8f0003	143,0,3
AT1G73650	1	E	#8f0003	143,0,3
AT1G73655	1	E	#8f0003	143,0,3
AT1G73660	1	E	#8f0003	143,0,3
AT1G73670	1	E	#8f0003	143,0,3
AT1G73680	1	E	#8f0003	143,0,3
AT1G73687	1	E	#8f0003	143,0,3
AT1G73690	1	E	#8f0003	143,0,3
AT1G73700	1	E	#8f0003	143,0,3
AT1G73710	1	E	#8f0003	143,0,3
AT1G73720	1	E	#8f0003	143,0,3
AT1G73730	1	E	#8f0003	143,0,3
AT1G73740	1	E	#8f0003	143,0,3
AT1G73750	1	E	#8f0003	143,0,3
AT1G73760	1	E	#8f0003	143,0,3
AT1G73770	1	E	#8f0003	143,0,3
AT1G73780	1	E	#8f0003	143,0,3
AT1G73790	1	E	#8f0003	143,0,3
AT1G73805	1	E	#8f0003	143,0,3
AT1G73810	1	E	#8f0003	143,0,3
AT1G73820	1	E	#8f0003	143,0,3
AT1G73830	1	E	#8f0003	143,0,3
AT1G73840	1	E	#8f0003	143,0,3
AT1G73850	1	E	#8f0003	143,0,3
AT1G73860	1	E	#8f0003	143,0,3
AT1G73870	1	E	#8f0003	143,0,3
AT1G73875	1	E	#8f0003	143,0,3
AT1G73880	1	E	#8f0003	143,0,3
AT1G73885	1	E	#8f0003	143,0,3
AT1G73890	1	E	#8f0003	143,0,3
AT1G73900	1	E	#8f0003	143,0,3
AT1G73910	1	E	#8f0003	143,0,3
AT1G73920	1	E	#8f0003	143,0,3
AT1G73930	1	E	#8f0003	143,0,3
AT1G73940	1	E	#8f0003	143,0,3
AT1G73950	1	E	#8f0003	143,0,3
AT1G73960	1	E	#8f0003	143,0,3
AT1G73965	1	E	#8f0003	143,0,3
AT1G73970	1	E	#8f0003	143,0,3
AT1G73980	1	E	#8f0003	143,0,3
AT1G73990	1	E	#8f0003	143,0,3
AT1G74000	1	E	#8f0003	143,0,3
AT1G74010	1	E	#8f0003	143,0,3
AT1G74020	1	E	#8f0003	143,0,3
AT1G74030	1	E	#8f0003	143,0,3
AT1G74040	1	E	#8f0003	143,0,3
AT1G74045	1	E	#8f0003	143,0,3
AT1G74050	1	E	#8f0003	143,0,3
AT1G74055	1	E	#8f0003	143,0,3
AT1G74060	1	E	#8f0003	143,0,3
AT1G74070	1	E	#8f0003	143,0,3
AT1G74080	1	E	#8f0003	143,0,3
AT1G74088	1	E	#8f0003	143,0,3
AT1G74090	1	E	#8f0003	143,0,3
AT1G74100	1	E	#8f0003	143,0,3
AT1G74110	1	E	#8f0003	143,0,3
AT1G74120	1	E	#8f0003	143,0,3
AT1G74130	1	E	#8f0003	143,0,3
AT1G74140	1	E	#8f0003	143,0,3
AT1G74150	1	E	#8f0003	143,0,3
AT1G74160	1	E	#8f0003	143,0,3
AT1G74170	1	E	#8f0003	143,0,3
AT1G74180	1	E	#8f0003	143,0,3
AT1G74190	1	E	#8f0003	143,0,3
AT1G74200	1	E	#8f0003	143,0,3
AT1G74205	1	E	#8f0003	143,0,3
AT1G74210	1	E	#8f0003	143,0,3
AT1G74220	1	E	#8f0003	143,0,3
AT1G74230	1	E	#8f0003	143,0,3
AT1G74240	1	E	#8f0003	143,0,3
AT1G74250	1	E	#8f0003	143,0,3
AT1G74260	1	E	#8f0003	143,0,3
AT1G74270	1	E	#8f0003	143,0,3
AT1G74280	1	E	#8f0003	143,0,3
AT1G74290	1	E	#8f0003	143,0,3
AT1G74300	1	E	#8f0003	143,0,3
AT1G74310	1	E	#8f0003	143,0,3
AT1G74320	1	E	#8f0003	143,0,3
AT1G74330	1	E	#8f0003	143,0,3
AT1G74340	1	E	#8f0003	143,0,3
AT1G74350	1	E	#8f0003	143,0,3
AT1G74360	1	E	#8f0003	143,0,3
AT1G74370	1	E	#8f0003	143,0,3
AT1G74380	1	E	#8f0003	143,0,3
AT1G74390	1	E	#8f0003	143,0,3
AT1G74400	1	E	#8f0003	143,0,3
AT1G74410	1	E	#8f0003	143,0,3
AT1G74420	1	E	#8f0003	143,0,3
AT1G74430	1	E	#8f0003	143,0,3
AT1G74440	1	E	#8f0003	143,0,3
AT1G74448	1	E	#8f0003	143,0,3
AT1G74450	1	E	#8f0003	143,0,3
AT1G74453	1	E	#8f0003	143,0,3
AT1G74456	1	E	#8f0003	143,0,3
AT1G74457	1	E	#8f0003	143,0,3
AT1G74458	1	E	#8f0003	143,0,3
AT1G74460	1	E	#8f0003	143,0,3
AT1G74470	1	E	#8f0003	143,0,3
AT1G74480	1	E	#8f0003	143,0,3
AT1G74490	1	E	#8f0003	143,0,3
AT1G74500	1	E	#8f0003	143,0,3
AT1G74510	1	E	#8f0003	143,0,3
AT1G74520	1	E	#8f0003	143,0,3
AT1G74530	1	E	#8f0003	143,0,3
AT1G74540	1	E	#8f0003	143,0,3
AT1G74545	1	E	#8f0003	143,0,3
AT1G74550	1	E	#8f0003	143,0,3
AT1G74560	1	E	#8f0003	143,0,3
AT1G74570	1	E	#8f0003	143,0,3
AT1G74580	1	E	#8f0003	143,0,3
AT1G74590	1	E	#8f0003	143,0,3
AT1G74600	1	E	#8f0003	143,0,3
AT1G74610	1	E	#8f0003	143,0,3
AT1G74620	1	E	#8f0003	143,0,3
AT1G74630	1	E	#8f0003	143,0,3
AT1G74640	1	E	#8f0003	143,0,3
AT1G74650	1	E	#8f0003	143,0,3
AT1G74660	1	E	#8f0003	143,0,3
AT1G74670	1	E	#8f0003	143,0,3
AT1G74680	1	E	#8f0003	143,0,3
AT1G74690	1	E	#8f0003	143,0,3
AT1G74700	1	E	#8f0003	143,0,3
AT1G74710	1	E	#8f0003	143,0,3
AT1G74720	1	E	#8f0003	143,0,3
AT1G74730	1	E	#8f0003	143,0,3
AT1G74740	1	E	#8f0003	143,0,3
AT1G74750	1	E	#8f0003	143,0,3
AT1G74770	1	E	#8f0003	143,0,3
AT1G74780	1	E	#8f0003	143,0,3
AT1G74790	1	E	#8f0003	143,0,3
AT1G74800	1	E	#8f0003	143,0,3
AT1G74810	1	E	#8f0003	143,0,3
AT1G74820	1	E	#8f0003	143,0,3
AT1G74830	1	E	#8f0003	143,0,3
AT1G74840	1	E	#8f0003	143,0,3
AT1G74850	1	E	#8f0003	143,0,3
AT1G74860	1	E	#8f0003	143,0,3
AT1G74870	1	E	#8f0003	143,0,3
AT1G74875	1	E	#8f0003	143,0,3
AT1G74880	1	E	#8f0003	143,0,3
AT1G74890	1	E	#8f0003	143,0,3
AT1G74900	1	E	#8f0003	143,0,3
AT1G74910	1	E	#8f0003	143,0,3
AT1G74920	1	E	#8f0003	143,0,3
AT1G74929	1	E	#8f0003	143,0,3
AT1G74930	1	E	#8f0003	143,0,3
AT1G74940	1	E	#8f0003	143,0,3
AT1G74950	1	E	#8f0003	143,0,3
AT1G74960	1	E	#8f0003	143,0,3
AT1G74970	1	E	#8f0003	143,0,3
AT1G74990	1	E	#8f0003	143,0,3
AT1G75000	1	E	#8f0003	143,0,3
AT1G75010	1	E	#8f0003	143,0,3
AT1G75020	1	E	#8f0003	143,0,3
AT1G75030	1	E	#8f0003	143,0,3
AT1G75040	1	E	#8f0003	143,0,3
AT1G75050	1	E	#8f0003	143,0,3
AT1G75060	1	E	#8f0003	143,0,3
AT1G75070	1	E	#8f0003	143,0,3
AT1G75080	1	E	#8f0003	143,0,3
AT1G75090	1	E	#8f0003	143,0,3
AT1G75100	1	E	#8f0003	143,0,3
AT1G75110	1	E	#8f0003	143,0,3
AT1G75120	1	E	#8f0003	143,0,3
AT1G75130	1	E	#8f0003	143,0,3
AT1G75140	1	E	#8f0003	143,0,3
AT1G75150	1	E	#8f0003	143,0,3
AT1G75160	1	E	#8f0003	143,0,3
AT1G75163	1	E	#8f0003	143,0,3
AT1G75166	1	E	#8f0003	143,0,3
AT1G75170	1	E	#8f0003	143,0,3
AT1G75180	1	E	#8f0003	143,0,3
AT1G75190	1	E	#8f0003	143,0,3
AT1G75200	1	E	#8f0003	143,0,3
AT1G75210	1	E	#8f0003	143,0,3
AT1G75220	1	E	#8f0003	143,0,3
AT1G75230	1	E	#8f0003	143,0,3
AT1G75240	1	E	#8f0003	143,0,3
AT1G75250	1	E	#8f0003	143,0,3
AT1G75260	1	E	#8f0003	143,0,3
AT1G75261	1	E	#8f0003	143,0,3
AT1G75270	1	E	#8f0003	143,0,3
AT1G75280	1	E	#8f0003	143,0,3
AT1G75290	1	E	#8f0003	143,0,3
AT1G75295	1	E	#8f0003	143,0,3
AT1G75300	1	E	#8f0003	143,0,3
AT1G75310	1	E	#8f0003	143,0,3
AT1G75330	1	E	#8f0003	143,0,3
AT1G75335	1	E	#8f0003	143,0,3
AT1G75340	1	E	#8f0003	143,0,3
AT1G75350	1	E	#8f0003	143,0,3
AT1G75360	1	E	#8f0003	143,0,3
AT1G75370	1	E	#8f0003	143,0,3
AT1G75380	1	E	#8f0003	143,0,3
AT1G75388	1	E	#8f0003	143,0,3
AT1G75390	1	E	#8f0003	143,0,3
AT1G75394	1	E	#8f0003	143,0,3
AT1G75400	1	E	#8f0003	143,0,3
AT1G75410	1	E	#8f0003	143,0,3
AT1G75420	1	E	#8f0003	143,0,3
AT1G75430	1	E	#8f0003	143,0,3
AT1G75440	1	E	#8f0003	143,0,3
AT1G75450	1	E	#8f0003	143,0,3
AT1G75460	1	E	#8f0003	143,0,3
AT1G75470	1	E	#8f0003	143,0,3
AT1G75480	1	E	#8f0003	143,0,3
AT1G75490	1	E	#8f0003	143,0,3
AT1G75500	1	E	#8f0003	143,0,3
AT1G75510	1	E	#8f0003	143,0,3
AT1G75520	1	E	#8f0003	143,0,3
AT1G75530	1	E	#8f0003	143,0,3
AT1G75540	1	E	#8f0003	143,0,3
AT1G75550	1	E	#8f0003	143,0,3
AT1G75560	1	E	#8f0003	143,0,3
AT1G75570	1	E	#8f0003	143,0,3
AT1G75580	1	E	#8f0003	143,0,3
AT1G75590	1	E	#8f0003	143,0,3
AT1G75600	1	E	#8f0003	143,0,3
AT1G75610	1	E	#8f0003	143,0,3
AT1G75620	1	E	#8f0003	143,0,3
AT1G75630	1	E	#8f0003	143,0,3
AT1G75640	1	E	#8f0003	143,0,3
AT1G75650	1	E	#8f0003	143,0,3
AT1G75660	1	E	#8f0003	143,0,3
AT1G75670	1	E	#8f0003	143,0,3
AT1G75680	1	E	#8f0003	143,0,3
AT1G75690	1	E	#8f0003	143,0,3
AT1G75700	1	E	#8f0003	143,0,3
AT1G75710	1	E	#8f0003	143,0,3
AT1G75717	1	E	#8f0003	143,0,3
AT1G75720	1	E	#8f0003	143,0,3
AT1G75730	1	E	#8f0003	143,0,3
AT1G75740	1	E	#8f0003	143,0,3
AT1G75750	1	E	#8f0003	143,0,3
AT1G75760	1	E	#8f0003	143,0,3
AT1G75770	1	E	#8f0003	143,0,3
AT1G75780	1	E	#8f0003	143,0,3
AT1G75790	1	E	#8f0003	143,0,3
AT1G75800	1	E	#8f0003	143,0,3
AT1G75810	1	E	#8f0003	143,0,3
AT1G75820	1	E	#8f0003	143,0,3
AT1G75830	1	E	#8f0003	143,0,3
AT1G75840	1	E	#8f0003	143,0,3
AT1G75850	1	E	#8f0003	143,0,3
AT1G75860	1	E	#8f0003	143,0,3
AT1G75870	1	E	#8f0003	143,0,3
AT1G75880	1	E	#8f0003	143,0,3
AT1G75890	1	E	#8f0003	143,0,3
AT1G75891	1	E	#8f0003	143,0,3
AT1G75900	1	E	#8f0003	143,0,3
AT1G75910	1	E	#8f0003	143,0,3
AT1G75920	1	E	#8f0003	143,0,3
AT1G75930	1	E	#8f0003	143,0,3
AT1G75940	1	E	#8f0003	143,0,3
AT1G75950	1	E	#8f0003	143,0,3
AT1G75960	1	E	#8f0003	143,0,3
AT1G75970	1	E	#8f0003	143,0,3
AT1G75980	1	E	#8f0003	143,0,3
AT1G75990	1	E	#8f0003	143,0,3
AT1G76000	1	E	#8f0003	143,0,3
AT1G76010	1	E	#8f0003	143,0,3
AT1G76020	1	E	#8f0003	143,0,3
AT1G76030	1	E	#8f0003	143,0,3
AT1G76040	1	E	#8f0003	143,0,3
AT1G76050	1	E	#8f0003	143,0,3
AT1G76060	1	E	#8f0003	143,0,3
AT1G76065	1	E	#8f0003	143,0,3
AT1G76062	1	E	#8f0003	143,0,3
AT1G76070	1	E	#8f0003	143,0,3
AT1G76080	1	E	#8f0003	143,0,3
AT1G76090	1	E	#8f0003	143,0,3
AT1G76100	1	E	#8f0003	143,0,3
AT1G76110	1	E	#8f0003	143,0,3
AT1G76120	1	E	#8f0003	143,0,3
AT1G76130	1	E	#8f0003	143,0,3
AT1G76135	1	E	#8f0003	143,0,3
AT1G76140	1	E	#8f0003	143,0,3
AT1G76150	1	E	#8f0003	143,0,3
AT1G76160	1	E	#8f0003	143,0,3
AT1G76170	1	E	#8f0003	143,0,3
AT1G76180	1	E	#8f0003	143,0,3
AT1G76185	1	E	#8f0003	143,0,3
AT1G76190	1	E	#8f0003	143,0,3
AT1G76200	1	E	#8f0003	143,0,3
AT1G76210	1	E	#8f0003	143,0,3
AT1G76220	1	E	#8f0003	143,0,3
AT1G76230	1	E	#8f0003	143,0,3
AT1G76240	1	E	#8f0003	143,0,3
AT1G76250	1	E	#8f0003	143,0,3
AT1G76260	1	E	#8f0003	143,0,3
AT1G76270	1	E	#8f0003	143,0,3
AT1G76280	1	E	#8f0003	143,0,3
AT1G76290	1	E	#8f0003	143,0,3
AT1G76300	1	E	#8f0003	143,0,3
AT1G76310	1	E	#8f0003	143,0,3
AT1G76320	1	E	#8f0003	143,0,3
AT1G76330	1	E	#8f0003	143,0,3
AT1G76340	1	E	#8f0003	143,0,3
AT1G76350	1	E	#8f0003	143,0,3
AT1G76360	1	E	#8f0003	143,0,3
AT1G76370	1	E	#8f0003	143,0,3
AT1G76380	1	E	#8f0003	143,0,3
AT1G76390	1	E	#8f0003	143,0,3
AT1G76400	1	E	#8f0003	143,0,3
AT1G76405	1	E	#8f0003	143,0,3
AT1G76410	1	E	#8f0003	143,0,3
AT1G76420	1	E	#8f0003	143,0,3
AT1G76430	1	E	#8f0003	143,0,3
AT1G76440	1	E	#8f0003	143,0,3
AT1G76450	1	E	#8f0003	143,0,3
AT1G76460	1	E	#8f0003	143,0,3
AT1G76470	1	E	#8f0003	143,0,3
AT1G76480	1	E	#8f0003	143,0,3
AT1G76490	1	E	#8f0003	143,0,3
AT1G76500	1	E	#8f0003	143,0,3
AT1G76510	1	E	#8f0003	143,0,3
AT1G76520	1	E	#8f0003	143,0,3
AT1G76530	1	E	#8f0003	143,0,3
AT1G76540	1	E	#8f0003	143,0,3
AT1G76550	1	E	#8f0003	143,0,3
AT1G76560	1	E	#8f0003	143,0,3
AT1G76570	1	E	#8f0003	143,0,3
AT1G76580	1	E	#8f0003	143,0,3
AT1G76590	1	E	#8f0003	143,0,3
AT1G76600	1	E	#8f0003	143,0,3
AT1G76610	1	E	#8f0003	143,0,3
