Bna	Ath_uniprot	Ath_agi	ACK_block	consensus_ACK	consensus_score	Ath_position	Ath_increment
A06p00360.1_BnaDAR	Q9C888	AT1G55180	C	C	6380.01	4605	-1
A06p00370.1_BnaDAR	Q9C717	AT1G55170	C	C	5829.65	4603	-2
A06p00380.1_BnaDAR	Q67XZ3	AT1G55120	C	C	6126.99	4597	-6
A06p00400.1_BnaDAR	Q9C723	AT1G55090	C	C	6173.29	4595	-2
A06p00410.1_BnaDAR	Q9CAI7	AT1G54270	C	C	5595.19	4516	-79
A06p00430.1_BnaDAR	Q5M729	AT1G54220	C	C	5397.09	4511	-5
A06p00440.1_BnaDAR	Q3ECQ3	AT1G54215	C	C	4782.36	4509	-2
A06p00450.1_BnaDAR	Q2V4I9	AT1G35435	B	C	4737.29	3494	-1015
A06p00460.1_BnaDAR	Q8S924	AT1G54210	C	C	4812.21	4508	1014
A06p00470.1_BnaDAR	Q9SLL2	AT1G54200	C	C	4814.53	4507	-1
A06p00480.1_BnaDAR	Q5HZ09	AT1G54180	C	C	4882.4	4506	-1
A06p00490.1_BnaDAR	Q8L793	AT1G54170	C	C	4946.87	4505	-1
A06p00500.1_BnaDAR	Q9SYH4	AT1G54160	C	C	4787.87	4504	-1
A06p00510.1_BnaDAR	Q9SYH3	AT1G54150	C	C	4851.2	4503	-1
A06p00520.1_BnaDAR	Q9SYH2	AT1G54140	C	C	4588.87	4502	-1
A06p00550.1_BnaDAR	Q9SYG7	AT1G54100	C	C	4739.77	4497	-5
A06p00560.1_BnaDAR	Q6NNH0	AT1G54095	C	C	4691.02	4496	-1
A06p00570.1_BnaDAR	Q9SYG4	AT1G54080	C	C	4989.61	4494	-2
A06p00600.1_BnaDAR	Q8RY71	AT1G54040	C	C	4987.89	4490	-4
A06p00610.1_BnaDAR	Q9C5N8	AT1G54020	C	C	5046.42	4488	-2
A06p00630.1_BnaDAR	Q7XA74	AT1G54030	C	C	5110	4489	1
A06p00640.1_BnaDAR	Q9C5N8	AT1G54020	C	C	5103.65	4488	-1
A06p00670.1_BnaDAR	Q8RY71	AT1G54040	C	C	4944.42	4490	2
A06p00680.1_BnaDAR	Q9SYF0	AT1G53940	C	C	5126.61	4480	-10
A06p00700.1_BnaDAR	P0DO12	AT1G53903	C	C	4938.72	4475	-5
A06p00710.1_BnaDAR	A0A1P8AT59	AT1G53900	C	C	5335.29	4474	-1
A06p00720.1_BnaDAR	A0A1P8AWJ7	AT1G53875	NA	C	5033.67	4469	-5
A06p00730.1_BnaDAR	Q67XV7	AT1G53890	C	C	5048.72	4473	4
A06p00750.1_BnaDAR	Q43867	AT1G53840	C	C	5427.05	4465	-8
A06p00770.1_BnaDAR	B9DHC9	AT1G53800	C	C	5351.02	4461	-4
A06p00780.1_BnaDAR	Q501D6	AT1G53770	C	C	5450.31	4458	-3
A06p00790.1_BnaDAR	Q9C8N0	AT1G53760	C	C	5198.71	4457	-1
A06p00800.1_BnaDAR	Q9SSB5	AT1G53750	C	C	5387.16	4456	-1
A06p00810.1_BnaDAR	Q9C8M9	AT1G53730	C	C	5272.18	4455	-1
A06p00830.1_BnaDAR	F4KIL7	AT1G50920	C	C	4843.81	4145	-310
A06p00840.1_BnaDAR	Q9FLM8	AT1G53690	C	C	4827.82	4449	304
A06p00880.1_BnaDAR	Q9C8M2	AT1G53670	C	C	4973.41	4447	-2
A06p00890.1_BnaDAR	Q9C8L9	AT1G53645	C	C	5030.02	4443	-4
A06p00910.1_BnaDAR	Q9C8L6	AT1G53600	C	C	5147.07	4436	-7
A06p00940.1_BnaDAR	Q9C8L4	AT1G53580	C	C	5104.94	4434	-2
A06p00950.1_BnaDAR	Q9LPH1	AT1G53560	C	C	4977.24	4432	-2
A06p00960.1_BnaDAR	Q9S7C0	AT1G79930	E	C	4895.46	7038	2606
A06p00970.1_BnaDAR	Q9C8L2	AT1G53520	C	C	5142.39	4426	-2612
A06p00990.1_BnaDAR	F4HRI2	AT1G53490	C	C	5244.32	4423	-3
A06p01000.1_BnaDAR	Q9LPG3	AT1G53470	C	C	5868.41	4421	-2
A06p01010.1_BnaDAR	F4HRH6	AT1G53450	C	C	5782.67	4419	-2
A06p01030.1_BnaDAR	Q9MAG2	AT1G53400	C	C	5582.01	4415	-4
A06p01040.1_BnaDAR	Q9MAG3	AT1G53390	C	C	6433.24	4414	-1
A06p01050.1_BnaDAR	Q9MAG3	AT1G53390	C	C	6542.78	4414	0
A06p01060.1_BnaDAR	Q9MAG4	AT1G53380	C	C	5744.63	4413	-1
A06p01090.1_BnaDAR	F4HPT1	AT1G53250	C	C	5416.54	4394	-19
A06p01100.1_BnaDAR	Q9LKA4	AT3G15010	F	C	5197.58	15009	10615
A06p01110.1_BnaDAR	Q9LKA3	AT1G53240	C	C	5487.02	4393	-10616
A06p01120.1_BnaDAR	Q8L636	AT1G53210	C	C	5584.21	4391	-2
A06p01130.1_BnaDAR	F4HPS6	AT1G53200	C	C	5111.06	4390	-1
A06p01140.1_BnaDAR	Q5EAI9	AT1G53190	C	C	5113.63	4389	-1
A06p01150.1_BnaDAR	Q9MAI5	AT1G53170	C	C	4770.67	4387	-2
A06p01160.1_BnaDAR	Q9MAI8	AT1G53163	C	C	4776.87	4385	-2
A06p01170.1_BnaDAR	Q9S7A9	AT1G53160	C	C	4736.64	4384	-1
A06p01190.1_BnaDAR	Q9LNN7	AT1G53130	C	C	4697.84	4382	-2
A06p01200.1_BnaDAR	Q8VZN4	AT1G53110	C	C	4752.47	4380	-2
A06p01210.1_BnaDAR	Q6DBE8	AT1G53100	C	C	4918.59	4379	-1
A06p01220.1_BnaDAR	Q9LNN3	AT1G53080	C	C	4825.17	4377	-2
A06p01230.1_BnaDAR	Q9LNN1	AT1G53060	C	C	4753.32	4375	-2
A06p01240.1_BnaDAR	Q9LNN1	AT1G53060	C	C	4746.38	4375	0
A06p01270.1_BnaDAR	Q0WNW2	AT1G53040	C	C	4969.01	4373	-2
A06p01290.1_BnaDAR	Q94FT1	AT1G53030	C	C	4553.22	4371	-2
A06p01300.1_BnaDAR	Q8GY87	AT1G53025	C	C	4791.38	4370	-1
A06p01310.1_BnaDAR	Q9C919	AT1G53010	C	C	4587.87	4368	-2
A06p01330.1_BnaDAR	F4JQK2	AT4G12170	P	C	4439.88	24307	19939
A06p01380.1_BnaDAR	Q9C923	AT1G52980	C	C	4948.71	4365	-19942
A06p01410.1_BnaDAR	F4IEM5	AT1G52920	C	C	4835.3	4360	-5
A06p01420.1_BnaDAR	Q9C930	AT1G52910	C	C	4589.68	4359	-1
A06p01430.1_BnaDAR	Q9C931	AT1G52900	C	C	4596.65	4357	-2
A06p01440.1_BnaDAR	Q9C932	AT1G52890	C	C	4673.94	4356	-1
A06p01460.1_BnaDAR	Q9ZNU2	AT1G52880	C	C	4589.43	4355	-1
A06p01470.1_BnaDAR	Q8GYA5	AT3G15518	F	C	4394.6	15069	10714
A06p01480.1_BnaDAR	Q9C933	AT1G52870	C	C	4755.42	4354	-10715
A06p01500.1_BnaDAR	Q8LC41	AT1G52855	C	C	4524.21	4353	-1
A06p01510.1_BnaDAR	F4IEL6	AT1G52857	C	C	4509.94	4352	-1
A06p01520.1_BnaDAR	Q38824	AT1G52830	C	C	4653.53	4351	-1
A06p01550.1_BnaDAR	Q9C936	AT1G52820	C	C	4935.99	4348	-3
A06p01560.1_BnaDAR	Q9C937	AT1G52810	C	C	5010.09	4347	-1
A06p01570.1_BnaDAR	Q9C938	AT1G52800	C	C	5179.5	4346	-1
A06p01580.1_BnaDAR	Q9C939	AT1G52790	C	C	5308.27	4345	-1
A06p01590.1_BnaDAR	F4IEK8	AT1G52780	C	C	5993.01	4344	-1
A06p01630.1_BnaDAR	Q9C941	AT1G52770	C	C	5515.13	4343	-1
A06p01650.1_BnaDAR	F4IEK5	AT1G52750	C	C	5633.27	4341	-2
A06p01660.1_BnaDAR	Q9C944	AT1G52740	C	C	5164.44	4340	-1
A06p01670.1_BnaDAR	Q9SSS7	AT1G52730	C	C	5330.71	4339	-1
A06p01680.1_BnaDAR	Q8GY12	AT1G52695	C	C	5088.64	4335	-4
A06p01690.1_BnaDAR	Q9SSS0	AT1G52680	C	C	5005.59	4333	-2
A06p01700.1_BnaDAR	Q9LW09	AT1G52660	C	C	5234.36	4331	-2
A06p01710.1_BnaDAR	Q9SSR6	AT1G52640	C	C	5092.11	4329	-2
A06p01720.1_BnaDAR	Q8RY81	AT1G52630	C	C	5336.91	4328	-1
A06p01730.1_BnaDAR	Q9SSR4	AT1G52620	C	C	5114.42	4327	-1
A06p01740.1_BnaDAR	Q9SSR0	AT1G52580	C	C	5153.71	4322	-5
A06p01780.1_BnaDAR	Q9SSQ8	AT1G52560	C	C	5017.41	4319	-3
A06p01800.1_BnaDAR	Q8LDB7	AT1G52540	C	C	5127.62	4317	-2
A06p01810.1_BnaDAR	F4ICX9	AT1G52410	C	C	5031.8	4303	-14
A06p01820.1_BnaDAR	Q9SE50	AT1G52400	C	C	5325.79	4302	-1
A06p01830.1_BnaDAR	Q9C829	AT1G52380	C	C	4900.53	4300	-2
A06p01850.1_BnaDAR	Q9C829	AT1G52380	C	C	4999.19	4300	0
A06p01860.1_BnaDAR	F4ICW8	AT1G52343	C	C	4996.47	4297	-3
A06p01870.1_BnaDAR	Q9C826	AT1G52340	C	C	5097.99	4295	-2
A06p01880.1_BnaDAR	Q9C824	AT1G52320	C	C	5328.96	4292	-3
A06p01890.1_BnaDAR	F4ICV8	AT1G52315	C	C	5113.04	4291	-1
A06p01910.1_BnaDAR	Q9SZ83	AT4G09670	P	C	4911.77	24039	19748
A06p01920.1_BnaDAR	Q43292	AT1G52300	C	C	5023.03	4289	-19750
A06p01930.1_BnaDAR	Q9LW76	AT1G52280	C	C	5207.61	4287	-2
A06p01940.1_BnaDAR	Q66GQ3	AT1G52260	C	C	5525.27	4285	-2
A06p01950.1_BnaDAR	Q9M811	AT1G52240	C	C	5718.34	4283	-2
A06p01960.1_BnaDAR	Q9SUI6	AT1G52230	C	C	5469.51	4282	-1
A06p01970.1_BnaDAR	Q9M812	AT1G52220	C	C	5485.52	4281	-1
A06p01980.1_BnaDAR	Q9M815	AT1G52200	C	C	5577.61	4280	-1
A06p01990.1_BnaDAR	Q9M817	AT1G52190	C	C	6174.47	4278	-2
A06p02000.1_BnaDAR	Q8VYS2	AT1G52160	C	C	6478.94	4276	-2
A06p02010.1_BnaDAR	F4IBA7	AT1G52155	C	C	6191.18	4275	-1
A06p02020.1_BnaDAR	Q9ZU11	AT1G52150	C	C	6731.92	4274	-1
A06p02030.1_BnaDAR	F4I9R6	AT1G58160	D	C	5838.78	4836	562
A06p02040.1_BnaDAR	F4I9R6	AT1G58160	D	C	5838.78	4836	0
A06p02050.1_BnaDAR	Q9ZU13	AT1G52130	C	C	5838.78	4272	-564
A06p02140.1_BnaDAR	Q9ZU25	AT1G51980	C	C	6356.04	4260	-12
A06p02150.1_BnaDAR	O24408	AT1G51950	C	C	6224.49	4256	-4
A06p02170.1_BnaDAR	F4IB81	AT1G51940	C	C	6695.83	4255	-1
A06p02180.1_BnaDAR	F4IB76	AT1G51910	C	C	6952.16	4250	-5
A06p02190.1_BnaDAR	C0LGG6	AT1G51890	C	C	7003.3	4248	-2
A06p02200.1_BnaDAR	C0LGG4	AT1G51860	C	C	6976.75	4245	-3
A06p02230.1_BnaDAR	Q9SWX9	AT1G51780	C	C	6497.27	4235	-10
A06p02240.1_BnaDAR	P59277	AT1G51740	C	C	6308.03	4231	-4
A06p02260.1_BnaDAR	O22797	AT2G33470	J	C	5937.3	21671	17440
A06p02280.1_BnaDAR	Q9C8I1	AT1G51730	C	C	6023.33	4230	-17441
A06p02290.1_BnaDAR	F4I9M9	AT1G51720	C	C	6544.99	4229	-1
A06p02300.1_BnaDAR	Q949Y0	AT1G51710	C	C	6212.69	4228	-1
A06p02310.1_BnaDAR	Q38821	AT1G51690	C	C	6146.18	4226	-2
A06p02320.1_BnaDAR	F4HZZ6	AT1G35660	B	C	5654.11	3517	-709
A06p02340.1_BnaDAR	B3H7I1	AT5G44582	V2	C	5654.11	10998	7481
A06p02340.1_BnaDAR	Q9LU08	AT5G44580	V2	C	5654.11	10997	-1
A06p02340.1_BnaDAR	A8MRU6	AT5G44582	V2	C	5654.11	10998	1
A06p02350.1_BnaDAR	Q9C8H6	AT1G51640	C	C	6153.57	4221	-6777
A06p02360.1_BnaDAR	Q0WPA5	AT1G51630	C	C	6033.37	4220	-1
A06p02370.1_BnaDAR	Q9C8H4	AT1G51620	C	C	5869.76	4219	-1
A06p02380.1_BnaDAR	Q8H1G3	AT1G51610	C	C	5961.74	4218	-1
A06p02390.1_BnaDAR	Q9C512	AT1G51590	C	C	6104.66	4216	-2
A06p02410.1_BnaDAR	F4I6L3	AT1G50750	C	C	5756.1	4132	-84
A06p02420.1_BnaDAR	F4I6L3	AT1G50750	C	C	5580.18	4132	0
A06p02440.1_BnaDAR	F4I6L3	AT1G50750	C	C	5693.33	4132	0
A06p02450.1_BnaDAR	F4I9K2	AT1G51538	C	C	5698.8	4210	78
A06p02460.1_BnaDAR	F4I9J7	AT1G51510	C	C	5517.83	4207	-3
A06p02470.1_BnaDAR	Q9C8J8	AT1G51460	C	C	5941.84	4202	-5
A06p02480.1_BnaDAR	Q9C8J7	AT1G51450	C	C	5485.9	4201	-1
A06p02490.1_BnaDAR	Q9C8J6	AT1G51440	C	C	5593.85	4200	-1
A06p02500.1_BnaDAR	F4I9I6	AT1G51405	C	C	5222.48	4196	-4
A06p02510.1_BnaDAR	Q9SYE2	AT1G51400	C	C	5045.39	4194	-2
A06p02520.1_BnaDAR	Q9C8J2	AT1G51390	C	C	5210.03	4193	-1
A06p02550.1_BnaDAR	Q3ECS5	AT1G51355	C	C	5046.21	4189	-4
A06p02560.1_BnaDAR	Q8RWE7	AT1G51350	C	C	5555.13	4188	-1
A06p02570.1_BnaDAR	Q8W031	AT1G51220	C	C	5240.99	4176	-12
A06p02580.1_BnaDAR	Q9LZD8	AT1G51210	C	C	5274.41	4175	-1
A06p02590.1_BnaDAR	Q9LZD8	AT1G51210	C	C	5193.18	4175	0
A06p02600.1_BnaDAR	Q8H0X0	AT1G51200	C	C	4897.36	4174	-1
A06p02620.1_BnaDAR	Q9SYB9	AT1G51170	C	C	5029.41	4171	-3
A06p02630.1_BnaDAR	Q9SYB8	AT1G51160	C	C	4791.9	4170	-1
A06p02640.1_BnaDAR	Q9C690	AT1G51140	C	C	4823.3	4168	-2
A06p02650.1_BnaDAR	Q9C689	AT1G51130	C	C	4770.59	4167	-1
A06p02660.1_BnaDAR	Q9C688	AT1G51120	C	C	4628.09	4166	-1
A06p02670.1_BnaDAR	Q8LAP6	AT1G51110	C	C	4652.91	4165	-1
A06p02680.1_BnaDAR	Q9C685	AT1G51100	C	C	4332.12	4164	-1
A06p02690.1_BnaDAR	Q9C683	AT1G51080	C	C	4281.6	4162	-2
A06p02720.1_BnaDAR	Q9M9L8	AT3G05780	F	C	4062.58	14024	9862
A06p02730.1_BnaDAR	Q9M9L8	AT3G05780	F	C	4062.58	14024	0
A06p02760.1_BnaDAR	Q9C6I2	AT1G50980	C	C	4224.44	4151	-9873
A06p02770.1_BnaDAR	Q9C6I2	AT1G50980	C	C	4179.55	4151	0
A06p02780.1_BnaDAR	Q9LJU1	AT3G20570	F	C	4089.86	15630	11479
A06p02790.1_BnaDAR	A0A1P8AX25	AT1G50950	C	C	4547.62	4148	-11482
A06p02800.1_BnaDAR	Q9C6J9	AT1G50790	C	C	4463.25	4136	-12
A06p02800.1_BnaDAR	A0A1P8AQ63	AT1G50820	C	C	4463.25	4137	1
A06p02810.1_BnaDAR	Q9C6I7	AT1G50930	C	C	4373.04	4146	9
A06p02820.1_BnaDAR	Q56Y76	AT1G50910	C	C	4749.39	4144	-2
A06p02830.1_BnaDAR	Q8VY88	AT1G50900	C	C	4627.54	4143	-1
A06p02860.1_BnaDAR	Q3E9E9	AT1G50830	C	C	4959.71	4138	-5
A06p02870.1_BnaDAR	Q9C6T7	AT1G50740	C	C	4734.7	4130	-8
A06p02880.1_BnaDAR	F4I6L1	AT1G50732	C	C	4732.49	4129	-1
A06p02890.1_BnaDAR	F4I6L0	AT1G50730	C	C	5485.38	4128	-1
A06p02900.1_BnaDAR	Q9C6T5	AT1G50720	C	C	4994.13	4127	-1
A06p02920.1_BnaDAR	Q8GYM3	AT1G50710	C	C	5417.73	4126	-1
A06p02950.1_BnaDAR	Q9LPT6	AT1G50670	C	C	5329.64	4122	-4
A06p02960.1_BnaDAR	Q9LPT5	AT1G50660	C	C	5702.04	4121	-1
A06p02970.1_BnaDAR	Q9C6P6	AT1G50650	C	C	5363	4120	-1
A06p02980.1_BnaDAR	O80339	AT1G50640	C	C	5445.33	4119	-1
A06p03000.1_BnaDAR	Q9LPT3	AT1G50630	C	C	5868.26	4118	-1
A06p03020.1_BnaDAR	Q8H125	AT1G50600	C	C	6074.86	4115	-3
A06p03030.1_BnaDAR	Q9LPS9	AT1G50590	C	C	6039.45	4114	-1
A06p03050.1_BnaDAR	Q9LPS7	AT1G50570	C	C	6111.73	4111	-3
A06p03060.1_BnaDAR	Q84K35	AT1G50510	C	C	6364.39	4107	-4
A06p03080.1_BnaDAR	O23673	AT1G02020	A	C	5997.05	105	-4002
A06p03090.1_BnaDAR	Q8L7T3	AT1G50490	C	C	6227.42	4105	4000
A06p03100.1_BnaDAR	Q9SPK5	AT1G50480	C	C	6886.14	4104	-1
A06p03110.1_BnaDAR	Q9LPS1	AT1G50460	C	C	6912.9	4102	-2
A06p03120.1_BnaDAR	Q94BZ0	AT1G50450	C	C	6972.24	4101	-1
A06p03130.1_BnaDAR	Q9LPR8	AT1G50420	C	C	7096.59	4098	-3
A06p03140.1_BnaDAR	Q94BR5	AT1G50410	C	C	7499.33	4097	-1
A06p03170.1_BnaDAR	Q9SX55	AT1G50400	C	C	7076.81	4096	-1
A06p03180.1_BnaDAR	A0A1P8ATN7	AT1G50380	C	C	7687.46	4094	-2
A06p03220.1_BnaDAR	Q8LD49	AT1G50320	C	C	7139.1	4088	-6
A06p03230.1_BnaDAR	Q9SX48	AT1G50310	C	C	7525.94	4087	-1
A06p03250.1_BnaDAR	Q9AST1	AT1G50300	C	C	7307.18	4086	-1
A06p03260.1_BnaDAR	Q39085	AT3G19820	F	C	7095.95	15547	11461
A06p03300.1_BnaDAR	P36428	AT1G50200	C	C	8191.11	4078	-11469
A06p03350.1_BnaDAR	Q1G3Z6	AT1G43171	C	C	7385.78	3632	-446
A06p03350.1_BnaDAR	Q9SX41	AT1G50220	C	C	7385.78	4079	447
A06p03350.1_BnaDAR	Q3E7N5	AT5G54067	W2	C	7385.78	12024	7945
A06p03360.1_BnaDAR	A0A1P8ASX9	AT1G50120	C	C	7800.29	4072	-7952
A06p03390.1_BnaDAR	Q9FR53	AT1G50030	C	C	9761.26	4065	-7
A06p03400.1_BnaDAR	F4K1D3	AT5G35680	S	C	6863.35	10037	5972
A06p03410.1_BnaDAR	Q9LPM3	AT1G50020	C	C	6987.34	4064	-5973
A06p03420.1_BnaDAR	P29511	AT1G50010	C	C	7152.89	4063	-1
A06p03430.1_BnaDAR	Q6E297	AT1G50000	C	C	6751.31	4062	-1
A06p03440.1_BnaDAR	Q9LPM2	AT1G49990	C	C	6613.54	4061	-1
A06p03460.1_BnaDAR	Q6JDV7	AT1G49980	C	C	6781.66	4060	-1
A06p03470.1_BnaDAR	Q8LFL5	AT1G49975	C	C	6110.82	4059	-1
A06p03480.1_BnaDAR	Q8VWK4	AT1G49950	C	C	6191.85	4056	-3
A06p03500.1_BnaDAR	Q94AI1	AT1G49890	C	C	6282.34	4050	-6
A06p03530.1_BnaDAR	Q9ASU6	AT1G42440	B	C	5815.32	3604	-446
A06p03540.1_BnaDAR	Q7XA66	AT1G49590	C	C	5956.94	4020	416
A06p03550.1_BnaDAR	F4I3B3	AT1G49600	C	C	6101.77	4021	1
A06p03560.1_BnaDAR	Q94CL9	AT1G49620	C	C	5833.8	4023	2
A06p03570.1_BnaDAR	Q8VY06	AT1G49630	C	C	6763.5	4024	1
A06p03580.1_BnaDAR	Q1G3Z6	AT1G50220	C	C	5722.06	4079	55
A06p03580.1_BnaDAR	Q9SX41	AT1G50220	C	C	5722.06	4079	0
A06p03580.1_BnaDAR	Q3E7N5	AT5G54067	W2	C	5722.06	12024	7945
A06p03590.1_BnaDAR	A0A1P8ASX9	AT1G50120	C	C	5898.93	4072	-7952
A06p03610.1_BnaDAR	Q9SX41	AT1G43171	C	C	5694.45	3632	-440
A06p03610.1_BnaDAR	Q3E7N5	AT5G54067	W2	C	5694.45	12024	8392
A06p03610.1_BnaDAR	Q1G3Z6	AT1G43171	C	C	5694.45	3632	-8392
A06p03620.1_BnaDAR	Q9FG91	AT1G51480	C	C	5769.01	4204	572
A06p03620.1_BnaDAR	Q9FG90	AT5G43740	V2	C	5769.01	10893	6689
A06p03640.1_BnaDAR	Q9FX92	AT1G49640	C	C	5915.53	4025	-6868
A06p03650.1_BnaDAR	Q9FX93	AT1G49650	C	C	6012.12	4026	1
A06p03660.1_BnaDAR	Q9FX94	AT1G49660	C	C	6030.75	4027	1
A06p03710.1_BnaDAR	F4I3C3	AT1G49670	C	C	6401.71	4028	1
A06p03720.1_BnaDAR	Q9FX97	AT1G49710	C	C	6343.74	4031	3
A06p03730.1_BnaDAR	Q9M7Q5	AT1G49720	C	C	6126.84	4033	2
A06p03740.1_BnaDAR	Q9FX99	AT1G49730	C	C	6433.95	4034	1
A06p03750.1_BnaDAR	Q9FXA0	AT1G49740	C	C	6215.45	4035	1
A06p03760.1_BnaDAR	Q9FXA2	AT1G49760	C	C	6357.51	4037	2
A06p03770.1_BnaDAR	Q9FXA3	AT1G49770	C	C	5885.32	4038	1
A06p03780.1_BnaDAR	Q9C6D2	AT1G49820	C	C	6160.58	4043	5
A06p03790.1_BnaDAR	Q9FX84	AT1G49560	C	C	5874.55	4017	-26
A06p03800.1_BnaDAR	Q9LPS8	AT1G50580	C	C	6053.81	4113	96
A06p03810.1_BnaDAR	A8MS30	AT2G25312	I	C	5691.31	20803	16690
A06p03810.1_BnaDAR	A8MRF6	AT3G45285	M	C	5691.31	17019	-3784
A06p03810.1_BnaDAR	A8MQM1	AT3G44428	M	C	5691.31	16914	-105
A06p03810.1_BnaDAR	A8MRM3	AT2G25312	I	C	5691.31	20803	3889
A06p03820.1_BnaDAR	F4I1S7	AT1G49540	C	C	6500.75	4016	-16787
A06p03830.1_BnaDAR	B3H578	AT1G43770	C	C	5787.24	3661	-355
A06p03850.1_BnaDAR	Q9M2N5	AT3G42170	l_m	C	5652.03	16764	13103
A06p03860.1_BnaDAR	F4I1R5	AT1G49420	C	C	5712.6	4004	-12760
A06p03880.1_BnaDAR	Q9SXA1	AT1G49340	C	C	7576.41	3996	-8
A06p03890.1_BnaDAR	Q9XI99	AT1G49320	C	C	5407.15	3994	-2
A06p03910.1_BnaDAR	Q84W13	AT1G49310	C	C	5111.08	3993	-1
A06p03920.1_BnaDAR	Q9XI97	AT1G49290	C	C	5133.42	3991	-2
A06p03930.1_BnaDAR	Q9XI96	AT1G49270	C	C	5194.26	3990	-1
A06p03940.1_BnaDAR	Q6NQG7	AT1G49230	C	C	4796.66	3985	-5
A06p03950.1_BnaDAR	Q94BY6	AT1G49200	C	C	4763.75	3980	-5
A06p03960.1_BnaDAR	Q94BY6	AT1G49200	C	C	4676.87	3980	0
A06p03990.1_BnaDAR	Q9M9A5	AT1G49030	C	C	4556.24	3966	-14
A06p04030.1_BnaDAR	Q9M9A3	AT1G49010	C	C	4489.16	3964	-2
A06p04040.1_BnaDAR	Q9M9A2	AT1G49000	C	C	4330.16	3962	-2
A06p04050.1_BnaDAR	Q5XVJ1	AT1G48980	C	C	4428.35	3960	-2
A06p04080.1_BnaDAR	Q67Y32	AT1G48960	C	C	4319.84	3958	-2
A06p04090.1_BnaDAR	Q9S9U2	AT5G27580	Q	C	4142.68	9804	5846
A06p04090.1_BnaDAR	Q7X9N2	AT5G27070	Q	C	4142.68	9753	-51
A06p04090.1_BnaDAR	Q7XJL1	AT5G27580	Q	C	4142.68	9804	51
A06p04110.1_BnaDAR	Q9FVQ1	AT1G48920	C	C	4303.94	3953	-5851
A06p04130.1_BnaDAR	Q9FVQ1	AT1G48920	C	C	4432.23	3953	0
A06p04150.1_BnaDAR	Q9FVP7	AT1G48870	C	C	4506.69	3948	-5
A06p04160.1_BnaDAR	Q9LSX9	AT4G34470	U	C	4152.41	26819	22871
A06p04160.1_BnaDAR	Q9LSY1	AT3G21830	F	C	4152.41	15767	-11052
A06p04160.1_BnaDAR	O49484	AT4G34210	U	C	4152.41	26788	11021
A06p04160.1_BnaDAR	Q9LSX8	AT3G21860	F	C	4152.41	15770	-11018
A06p04160.1_BnaDAR	Q9LSY0	AT3G21840	F	C	4152.41	15768	-2
A06p04160.1_BnaDAR	Q9M1X5	AT3G60010	N	C	4152.41	18558	2790
A06p04160.1_BnaDAR	O65674	AT4G34470	U	C	4152.41	26819	8261
A06p04170.1_BnaDAR	Q9LSY1	AT3G21850	F	C	4152.41	15769	-11050
A06p04170.1_BnaDAR	O49484	AT4G34210	U	C	4152.41	26788	11019
A06p04170.1_BnaDAR	Q9LSX8	AT3G21860	F	C	4152.41	15770	-11018
A06p04170.1_BnaDAR	Q9LSY0	AT3G21840	F	C	4152.41	15768	-2
A06p04170.1_BnaDAR	Q9M1X5	AT3G60010	N	C	4152.41	18558	2790
A06p04170.1_BnaDAR	O65674	AT4G34470	U	C	4152.41	26819	8261
A06p04170.1_BnaDAR	Q9LSX9	AT3G21850	F	C	4152.41	15769	-11050
A06p04190.1_BnaDAR	Q8VYB5	AT1G48790	C	C	4662.93	3941	-11828
A06p04200.1_BnaDAR	Q9C746	AT1G48780	C	C	4379.53	3940	-1
A06p04260.1_BnaDAR	Q9LV20	AT3G18200	F	C	4274.12	15362	11422
A06p04270.1_BnaDAR	F4HYJ7	AT1G48650	C	C	5503.98	3927	-11435
A06p04280.1_BnaDAR	Q8S9K7	AT1G48635	C	C	4589.49	3925	-2
A06p04300.1_BnaDAR	Q4V3D1	AT1G48620	C	C	4369.52	3923	-2
A06p04310.1_BnaDAR	Q94AD1	AT1G48610	C	C	4188.18	3922	-1
A06p04320.1_BnaDAR	Q9SY02	AT4G02750	O	C	4159.91	23576	19654
A06p04330.1_BnaDAR	B3H5S0	AT5G26950	Q	C	4159.91	9740	-13836
A06p04330.1_BnaDAR	O04632	AT5G26865	NA	C	4159.91	9732	-8
A06p04330.1_BnaDAR	Q7X9H9	AT5G26950	Q	C	4159.91	9740	8
A06p04340.1_BnaDAR	Q944H0	AT1G48600	C	C	4694.02	3920	-5820
A06p04360.1_BnaDAR	Q9LVH5	AT3G17970	F	C	4226.59	15339	11419
A06p04370.1_BnaDAR	Q9LP67	AT1G48570	C	C	4452.64	3917	-11422
A06p04380.1_BnaDAR	F4HYH8	AT1G48560	C	C	4695.93	3916	-1
A06p04390.1_BnaDAR	Q9M9U7	AT1G18760	A	C	4344.8	1899	-2017
A06p04400.1_BnaDAR	Q9M9U7	AT1G18760	A	C	4344.8	1899	0
A06p04410.1_BnaDAR	F4HYH6	AT1G48550	C	C	4745.07	3915	2016
A06p04420.1_BnaDAR	F4HYH4	AT1G48540	C	C	5444.59	3914	-1
A06p04440.1_BnaDAR	Q8GXW5	AT1G48470	C	C	5044.77	3907	-7
A06p04470.1_BnaDAR	Q9M9U7	AT1G18760	A	C	4669.59	1899	-2008
A06p04490.1_BnaDAR	F4HYF3	AT1G48420	C	C	5024.26	3902	2003
A06p04510.1_BnaDAR	Q9SX73	AT1G48405	C	C	4857.63	3900	-2
